step,mean_goal_distance,center_of_mass_goal_distance,velocity_consensus_error,min_agent_distance,min_obstacle_clearance,collision_count,total_collision_steps,total_collision_count,lattice_deviation_energy,mean_neighbor_count,connected_components,lambda_2
119,14.489785121570822,14.425009650713275,1.1692406086287808,0.35380642328583606,4.820940916199937,0.0,0.0,0.0,0.5958882384087998,16.1,1.0,6.700197619140251
120,14.480618102140046,14.416961368409288,1.158122077956894,0.35367008335143935,4.812507545591281,0.0,0.0,0.0,0.5941678442383188,16.2,1.0,6.722635508280467
121,14.471449150111178,14.408892888187934,1.1469312669549212,0.35354816201140393,4.804079932741187,0.0,0.0,0.0,0.576627968562844,16.2,1.0,6.722635508280467
122,14.462277926733185,14.400804037098679,1.1356867492815426,0.3534386723588511,4.795660095517259,0.0,0.0,0.0,0.5756631255474915,16.3,1.0,7.62451880006126
123,14.453104065683828,14.392694622256434,1.1243968354308858,0.3533396708095645,4.787250145667292,0.0,0.0,0.0,0.5589039274029142,16.3,1.0,7.62451880006126
124,14.443927188755993,14.38456443971401,1.1130614442843083,0.35324934717728723,4.778852186140479,0.0,0.0,0.0,0.5907309784992104,16.6,1.0,8.561475205110044
125,14.434746909164897,14.376413273890707,1.1016776980054745,0.3531660867298411,4.770468234825304,0.0,0.0,0.0,0.5738159551580284,16.6,1.0,8.561475205110044
126,14.425562837538482,14.368240908468973,1.0902495081229069,0.35308850933519953,4.762100168721597,0.0,0.0,0.0,0.557454888907076,16.6,1.0,8.561475205110044
127,14.416374584045432,14.360047125577578,1.0787780163650795,0.35301548963142704,4.7537496856839745,0.0,0.0,0.0,0.5575591828239326,16.7,1.0,8.6468122941547
128,14.407181758668207,14.351831702252081,1.06726055527415,0.3529461629603967,4.745418276106702,0.0,0.0,0.0,0.5577532939883779,16.8,1.0,8.68794046119784
129,14.397983963896516,14.343594406679706,1.055697895515973,0.3528799264905211,4.737107203211264,0.0,0.0,0.0,0.5575818181987569,16.9,1.0,8.742609484896251
130,14.388780785724657,14.335334994492731,1.0440959603354873,0.35281660488636135,4.728817484322157,0.0,0.0,0.0,0.5576753288263264,17.0,1.0,8.785907635268552
131,14.379571784662838,14.327053205285631,1.0324662685022692,0.35275647457264525,4.72054987886605,0.0,0.0,0.0,0.5574560567505841,17.1,1.0,8.816185517485874
